gX,gY,gZ
-28.2,-13.55,40.65
-11.78,-10.93,2.01
-78.61,18.19,-2.56
23.32,-14.53,5.31
-20.51,27.22,22.22
35.83,-21.79,0.31
22.46,-11.23,8.54
54.32,26.67,4.52
-31.31,-8.06,2.44
97.6,224.79,-3.78
68.66,264.16,26.25
2.5,362.92,113.71
11.41,327.51,48.1
62.93,347.17,80.87
97.29,352.78,39.79
33.08,271.06,-85.82
-77.39,7.08,13.61
-19.29,-6.41,31.13
-0.24,-53.59,-7.87
4.09,-171.57,-16.11
-46.75,-244.93,-23.99
35.71,-416.44,-42.72
66.89,-346.86,0.37
-141.11,-431.82,-28.75
-78.43,-259.64,-43.82
45.35,-106.81,-4.03
35.52,-76.35,0.31
-42.66,69.64,89.29
-14.59,6.04,0.98
-26.0,51.57,35.22
-33.51,127.44,10.44
-62.56,261.23,26.55
-59.94,352.54,-18.86
-88.32,453.06,-19.84
65.73,366.21,-32.53
4.7,287.35,-28.87
28.99,250.31,-7.26
-11.78,170.65,-21.0
66.65,46.63,-14.83
-60.91,-96.37,70.19
41.26,-72.88,-15.32
-1.1,-191.96,-2.87
55.11,-375.55,-20.51
-16.72,-349.3,-60.79
-43.21,-459.05,-76.48
-8.85,-355.04,-64.64
2.44,-204.35,-36.07
-14.16,-131.23,-49.32
-19.65,13.98,21.24
-4.15,49.74,9.22
-30.46,140.62,41.08
-17.58,224.37,18.43
-7.69,317.57,14.22
104.13,287.17,-47.36
-56.76,305.6,11.66
-25.63,240.48,-108.83
79.22,201.9,-15.14
20.87,193.54,2.69
5.68,151.73,-13.37
11.54,-56.09,5.74
41.38,-71.35,-32.78
28.63,-150.09,4.88
-17.76,-242.55,28.5
-31.68,-249.45,32.1
-17.03,-280.03,73.3
-47.73,-174.01,115.91
-11.78,-228.64,36.13
78.25,-252.2,3.78
-85.88,-227.11,22.46
-20.02,-161.01,41.26
19.78,-23.68,48.28
7.32,36.74,7.51
-22.03,111.51,12.57
-28.2,180.73,-34.97
7.08,248.41,-58.17
-21.18,253.11,-46.39
-19.53,310.06,-49.44
-29.97,296.08,-46.02
-3.42,291.38,-43.58
-34.3,306.58,-20.02
-44.92,221.19,13.49
33.33,-28.87,-18.07
22.95,-78.86,-17.46
22.71,-243.23,29.85
24.48,-288.51,-3.17
2.2,-357.79,17.4
31.92,-361.69,-13.67
24.17,-200.13,-10.13
23.07,-236.02,-14.22
4.09,-166.81,1.95
-0.37,-125.37,3.91
-6.53,-44.98,1.22
-8.0,24.11,3.48
11.9,93.38,-0.12
14.53,142.58,-3.54
4.82,192.57,5.92
-4.82,247.92,9.83
-10.38,302.86,6.53
2.62,299.07,19.84
-10.19,267.52,21.42
