gX,gY,gZ
-9.09,10.44,-8.97
4.88,10.8,-9.34
-1.1,15.32,-10.13
-9.77,51.09,-56.34
-9.46,89.42,-117.07
-4.64,129.88,-110.05
0.79,52.06,-54.5
7.93,-95.03,54.2
53.04,-148.38,102.29
100.83,-153.87,101.56
142.46,-184.14,83.62
17.09,-9.64,114.07
42.11,-45.47,-75.44
-30.21,-17.03,-40.16
-62.01,-1.65,-62.13
-74.46,23.93,-62.32
-44.8,17.88,-51.03
-44.43,25.76,-10.56
-31.37,67.02,-31.8
-59.94,37.05,-8.61
-119.32,51.15,9.89
-58.59,37.9,136.29
38.33,41.99,-63.48
80.32,88.44,-115.48
63.72,15.81,-45.84
74.89,1.89,46.33
86.67,-248.84,270.14
274.11,-279.66,186.58
140.75,33.87,-133.61
7.81,-5.55,-20.32
-20.94,-25.21,-29.97
-27.71,16.36,-70.37
-63.84,25.51,-85.88
-42.85,45.35,-71.59
2.87,65.06,-31.8
-18.43,67.69,-27.95
-31.13,72.14,-21.67
-85.45,68.36,-16.36
-183.72,-93.2,143.07
63.9,108.64,-8.97
49.87,74.4,-108.95
36.87,6.53,-42.48
46.81,-47.73,23.68
38.09,-14.83,59.08
110.66,-259.95,174.44
364.44,-234.01,134.22
-87.16,32.65,-2.14
-11.6,19.47,-63.54
-101.68,48.83,-91.37
-80.93,99.49,-93.32
-90.94,98.94,-108.03
-42.3,74.1,-62.26
-12.27,-3.42,43.58
-68.48,120.79,1.95
-49.13,89.66,71.9
-6.65,31.19,58.9
29.6,2.08,-41.26
10.44,50.9,-116.21
21.18,30.27,-88.38
44.25,-31.68,-14.95
77.39,-140.81,89.42
124.33,-59.08,97.17
159.67,-265.38,99.85
-115.97,54.08,34.18
-24.54,6.71,-52.86
-51.39,58.72,-79.65
-57.98,92.96,-102.48
-21.48,103.15,-83.62
-55.18,77.15,-19.78
-41.87,96.13,-13.12
-26.0,117.19,51.51
77.82,52.86,135.07
17.21,-52.31,-34.97
16.3,27.95,-104.86
25.21,-20.87,-72.27
38.82,-55.66,0.49
69.09,-37.35,46.94
101.68,-87.34,54.69
195.8,-303.16,32.71
-101.01,40.41,115.72
-0.12,0.37,-103.94
-101.81,21.12,-30.64
-36.32,22.46,-36.68
15.5,21.0,-18.8
52.49,17.52,-15.44
36.5,75.5,26.61
-31.13,104.98,18.43
33.87,187.19,-4.09
20.94,22.46,54.08
23.93,-39.0,37.17
13.79,21.42,-29.24
1.65,60.0,-56.03
5.68,-62.81,-14.59
36.62,-129.15,15.93
29.36,-193.05,11.41
186.83,-197.81,-10.01
-116.09,-117.25,138.12
11.72,22.71,-96.92
-47.49,90.39,-80.44
-55.11,90.45,-54.57
