gX,gY,gZ
1.28,6.53,15.01
14.34,-7.39,19.71
-5.31,7.63,11.72
-16.97,-9.03,-32.41
-52.61,85.63,-192.5
211.3,82.52,-382.63
45.72,116.09,-360.53
-22.4,50.23,-294.86
-26.0,-1.71,-40.47
37.48,-37.35,280.46
26.67,-99.55,409.67
-30.88,-109.8,409.55
-46.02,-61.71,348.57
-22.83,-106.81,294.43
17.15,-96.19,139.77
15.93,-40.04,86.49
-16.24,-19.59,-11.23
-10.38,6.04,-137.94
-41.14,31.74,-266.66
70.92,89.42,-362.67
91.55,33.94,-346.44
73.3,52.67,-363.65
58.96,52.86,-339.9
33.63,3.91,-173.58
-49.68,6.9,165.41
-21.3,-48.77,349.98
21.18,-89.11,444.34
-44.07,-91.43,419.01
-65.55,-70.86,339.42
-0.12,-91.49,288.76
-40.71,-82.82,202.76
-58.23,-51.64,83.37
24.48,-14.59,15.56
-4.09,0.73,-94.48
-8.0,43.88,-164.86
48.28,50.29,-203.37
55.54,26.98,-220.76
52.86,55.91,-263.73
20.51,24.78,-285.4
43.52,29.42,-235.78
-0.61,-13.98,-108.28
-9.64,-7.02,80.2
-5.68,11.17,181.7
-43.33,3.48,235.29
-28.08,18.37,244.75
-23.19,13.92,237.61
13.31,-0.98,215.94
12.94,-22.77,205.26
10.93,-38.45,127.32
20.69,-40.1,50.17
19.9,13.98,-52.8
2.14,23.56,-112.98
-11.47,31.86,-179.14
3.78,30.58,-228.7
11.9,54.2,-266.48
10.01,40.47,-269.04
30.15,36.8,-267.94
-88.81,14.04,-248.47
-68.6,-34.42,-134.46
52.55,13.49,138.49
2.26,-5.49,237.24
-4.94,11.78,257.51
-14.16,14.4,272.03
-22.71,17.33,237.92
7.57,2.56,233.52
-11.05,-17.88,213.87
9.95,-24.54,175.78
35.58,-5.49,106.63
3.17,-39.55,40.71
23.74,10.86,-63.84
-0.55,-2.56,-122.44
11.23,40.41,-183.59
2.26,12.63,-224.61
9.95,15.99,-255.37
21.55,25.39,-278.99
48.16,42.42,-304.99
100.95,109.68,-356.93
-35.89,27.28,-204.71
-21.48,-30.09,47.73
2.26,-46.39,226.93
6.29,-74.46,317.5
-44.25,-62.93,318.73
-54.2,-54.63,304.44
-46.69,-30.03,253.6
-38.02,-16.36,216.37
27.28,-2.14,191.41
58.65,-9.58,146.12
29.97,-6.04,32.78
-0.67,4.64,-57.92
-3.36,22.58,-127.62
1.65,53.41,-195.43
-2.26,62.81,-238.46
52.43,97.78,-285.89
31.13,105.9,-335.33
20.08,138.31,-395.63
12.57,129.21,-359.99
-99.67,44.68,-192.44
-36.93,-22.58,59.27
84.72,-88.5,261.35
-8.61,-134.77,341.19
